index,Class,tweet
26,2,Kikuyus used Ruto 2 beat Raila in 2013 & 2017 now Ruto is being dumped.I believe even Chebukati n his team might not be in 2022.Mark my word
27,2,Kikuyus truly love peace Luos please stop cornering them into war Kawangware was just a rehearsal!!!!
28,2,Kikuyus trending.. How awesome we are .. some idiots had to okoa bundles to tweet about kikuyu... Anyway continue hating .
29,2,Kikuyus too DESERVE JOBS...and we ain't begging for them.we demand because we are KENYANS!!!..Nana Gecaga.lalisheni hasira Kesho pia ni siku
30,2,Kikuyus through want Maraga out of SC.Its now Mt.Kenya professionals Vs Abagusii Voters.A good campaign tool !
31,2,Kikuyus think they are the freedom fighters solely wacha tupiganie another independence tuwaachie hiyo
32,2,kikuyus think that Raila is very dangerous for them and owe their lives currently to Ruto
33,2,Kikuyus think luos are their problem. You don't know your real adversaries. You are in denial.
34,2,KIKUYUs tell MARTHA KARUA her days are numbered - RAILA ODINGA is misleading you
35,2,Kikuyus Supporting Governor Evans Kidero s Re-election Are Not Backed By Their Elders
36,2,Kikuyus speak their language anwhere Luos too are proud of theirs. Dear Luhyas there is no problem with saying...
37,2,Kikuyus shouldn't even attempt tweeting like South Africans.
38,2,Kikuyus should tell ouru that he can not stop an idea whose tym has come
39,2,Kikuyus should stop this double STDs.when it's Raila then things are ok now it's Ouru and it's thorny.i don't respect him too.
40,2,Kikuyus should not be irked by the fact that 1M people are planning to go to JKIA to meet baba .These sons and daughters of Raila will need water to quench their thirst and 1M 20 Kshs will be good money for the hawkers!
41,2,Kikuyus Should Fear Mungiki more than any tribe. Siku utaanza kulipia kutumia your own toilet itafika mkiendelea hivi.
42,2,Kikuyus should be the first to keep Kikuyu leaders in check. Every time they spread hate they do it in our name. You're responsible.
43,2,Kikuyus say that they died for the Independence of KE nad so this is their country. Well Luos are dying for democracy. !
44,2,Kikuyus regardless of where they are in the diaspora.. all they talk about is making money... Me wanna spend the money...
45,2,Kikuyus received you from the airport. To Raila's supporters its a restricted area.It's Mugabe's turn.Yours will come. God is watching what you're doing.
46,2,Kikuyus put up businesses such that they are made fun of on churchill.. Why don't you complain indians have good businesses!!
47,2,Kikuyus problems are man-made therefore they may be solved by man. So Raila is their solution. What about Cheget international
48,2,Kikuyus president....you should have invited Machungwa and other computer generated sycophants.
49,2,Kikuyus people with Intellectual mind debates about solutions and implementation of subjects that are affecting citizens localy
50,2,Kikuyus 'peacefully' protest against in London during the conference.
51,2,Kikuyus own all this companies i think you're being economical with the truth to your poor gullible Luos
52,2,kikuyus own a lot! so when Odinga says boycott it's almost like living in USA and saying you're boycotting Jewish Financial Deals - huh?
53,2,Kikuyus ni wa bidii sana na kabila zengine wanatupenda isipokuwa!!!! That's why wanachukia sana Kikuyus
54,2,Kikuyu's must rise up& call out Uhuru for the mistake he is.Hatred towards Kikuyus is growing&Uhuru isn't worth the leadership
55,2,Kikuyus more disappointed with than real supporters
56,2,Kikuyus might love money but when it comes to entrep/ship Kisiis are the masterpiece.Its amazing the skycrapers they put on the hills
57,2,Kikuyus Merus and Embus are all the same stop sugar coating is like telling us Milly Odhiambo is a suba n not Luo
58,2,Kikuyus like INTJs are secretive. My family doesn't follow me because I am too loud yet we laugh that a robber tunneled their way into a bank and took off with million as voters got distracted by politics. LOL That's why crime pays.
59,2,Kikuyus like will praise n forget Ojwang is a luo as he rules in favour n call u names if do the opposite .
60,2,Kikuyus killed in the name of gangstars but to day propaganda decides
61,2,Kikuyu's Kamba and luos are being catered for But you forgot the Mijkendas(Digo luya + Giryamas)
62,2,Kikuyus jerking off here listen folks you won't do nothing even with cops we will welcome raila the way we want it's less than 24hrs keep it here
63,2,Kikuyus is trending.. Lemme see all the hate spewing generation there
64,2,Kikuyus in Twitter aren't GEMA spokespeople. We should learn not to generalize.
65,2,Kikuyus in senior gov't positions r saints. Other tribes to them shld play their cards. It was AG Ouko & nw
66,2,Kikuyus in my home area are planning to go back to central Kenya during . They have been receiving insults and threats.
67,2,kikuyus in most parts of kenya are afraid of being marked with indelible ink after voting.They fear being butchered.
68,2,KIKUYUS IN ATLANTA GEORGIA CELEBRATE WITH LUOS IN UNITY:
69,2,Kikuyus help me here Dennis Muigai Ngengi Henry or Andrew Kirangi . What a name. That man must be a con
70,2,Kikuyus heard Turkey's president is visiting Somalia. Now they are afraid wasomali wata bata mucinga.
71,2,Kikuyus have to see the light. Stop threats. Stop entitlement feeling. Kenyans are educated. Kenyans have no fear anymore.
72,2,Kikuyus have the funniest culture while Luos have the scariest....
73,2,Kikuyus have printed t-shirts and kofias written and are selling to demonstrating Jaluos.
74,2,Kikuyus have no choice but support Ruto. Ruto does not entertain
75,2,Kikuyus have never voted outside there region
76,2,kikuyus have never voted a different tribe in the history of Kenya so you are telling me otherwise
77,2,Kikuyus have never supported any other tribe for presidency since 1963....The other 41 tribes need to wake up.. .
78,2,KIKUYUS HAVE NEVER SUPPORTED A PRESIDENT OUTSIDE MT KENYA! EVEN PRESIDENTIAL POSITION NEEDS ETHIC BALANCE.
79,2,Kikuyus have had Presidency for over 30 yrs but majority live in abject poverty jiggers et al. Only Kenyattas / Kibakis &cronies flourish
80,2,Kikuyus have flooded jamhuri day event at kasarani with jubilee party flags after being paid 500 shillings each to make it look like a real event.We in NASA are awaiting our own jamhuri celebration once baba Raila Odinga is sworn in
81,2,Kikuyus have a militia in the name of munguki which other community have militia?
82,2,Kikuyus hated the British. Then they hated Moi. They are now hating Rao. They'll hate Ruto.
83,2,Kikuyus hate you but other Kenyans love you most.Tafuta kura BABA.
84,2,KIKUYUs hate WETANGULA with a passion Look at what they said after he collapsed!
85,2,KIKUYUS hate RAILA with a passion! See what they did to his banners in Nyeri moments after being mounted
86,2,KIKUYUS HATE RAILA ODINGA SO MUCH.... YET IT'S EMERGING THAT IT IS RAILA WHO ACTUALLY LOBBIED FOR THE BRITISH...
87,2,Kikuyus hate Luos' sycophancy
88,2,Kikuyus had to coin funny names for their kids like Thairu Thieri Theuri Tieri Teri etc courtesy of Thierry Henry. All hail the great!!
89,2,Kikuyus got the longest church services in the entire universe!Service goes on for 4 hrs. Brother Pastor gets down the pulpit.. Waves at the crowd walks out comes back thru another door.. Does a dramatic 360 turn and goes..
90,2,Kikuyus give us a break. ...tell uhuru to resign first is when u can lecture us on politics
91,2,Kikuyus getting killed but we can't talk about it because they are the bad ones apparently . We shall revisit
92,2,Kikuyus forget that we can also do our own set books and textbooks to teach our kids about how
93,2,Kikuyus find this very funny.wait until a non Kikuyu president probably not Rao gets to power someday.
94,2,Kikuyus fill Kasarani stadium yet media wants to create image of Kenya
95,2,Kikuyus fear a Raila presidency more than they fear mungiki -fact
96,2,Kikuyus falsely celebrate and single themselves as Mau Maus without prejudice so should other communities rightly claim there space in annals of history.
97,2,Kikuyus even the Kalenjins are not happy cc
98,2,Kikuyus esp Kuria insults baba and luos daily. Uhuru also called baba mganga we never went to the streets. .
99,2,Kikuyus elected through Raila will always betray him and the party but Raila still forgives them
100,2,Kikuyus dot hate Luos They dislike Odinga.
101,2,Kikuyus don't vote for Uhuru they vote against Raila. Let's get this straight.
102,2,Kikuyus dont mind a Gideon presidency. But Mashamba n Muguruki are No No. Hearing on the street
103,2,Kikuyus don't like Raila because of the fear of the unknown what's this 'unknown thing?'
104,2,Kikuyus dont know what the election boycott did.It vindicated Raila in the global eyes and ICC.It instead strengthened ICC
105,2,Kikuyus don't know the fires they are lighting all over this country against themselves waaah
106,2,Kikuyus and Kalenjins will vote in Uhuru na Ruto in big numbers. Its not because they are good leaders its bebause of the TRIBE.
107,2,Kikuyus and Kalenjins are my people don't take revenge on them - Raila t...
108,2,kikuyus and kalenjins are all kikuyus and all those other tribes ni stronghold ya opposition? madness
109,2,Kikuyus and Jaluos of kenya are behaving like the Dir and Daarod of Somaliya ... The outcome was civil war . we can all live together .
110,2,Kikuyus alone compose the largest number of street children in Nairobi we blame Jomo Kibaki and Uhuru they did nothing for them
111,2,kikuyus alone can't fight against all other Kenyans who want credible elections.if we can't beat them in credible elections let's join them
112,2,Kikuyus : Raila is bad Luos : Uhuru is bad People from other tribes are taking sides
113,2,Kikuyus /kalenjins are stable in power & no Luo/Turkana/Kamba etc comunitties will be allowed to disrupt our rule
114,2,Kikuyus & Kalenjins have taken over all strategic gov't jobs against 40 Kenyan tribes in total disregard of the constitution courtesy of JAP
115,2,Kikuyus & Kalenjins have a President at last. my prezy os and has been RAO
116,2,Kikuyus !! And this is what you preach? How different do u think u are from them then? Am talking about leaders not tribes.
117,2,kikuyus kalenjins Luos Masaai's kamba's and others are all Kenyans these pple making kikuyus trending in a wrong way should stop
118,2,Kikuyus claim they owe 2022 Presidential votes not if they have to vote Kalenjin
119,2,Kikuyus the most politically misused community has been brainwashed by tiny elite to think they are exceptional and under siege
120,2,Kikuyu songs are played in markets Luhyas in weddings and stadium Kikamba in food kiosks Luos in pubs and rallies .
121,2,KIKUYU NATION: 75% of Parastatal CEO Jobs held by Kikuyus . Because Kikuyus are tribalists they end up employing only Kikuyus . Sisi Waluhya tunabaki tumekula kuku. Now you know why MUST BE SWORN
122,2,Kikuyu /Kalenjin community not involved in . Individuals are so this stupid narrative of 40 v 2.
123,2,Keep calm is allergic to people with brains!....
124,2,Kambas will neva move forward The hate between them is so venomous And you have jst proved to me
125,2,Kambas will kill us: My Former 34A; My Kifalanga ya computer; My mbae
126,2,KAMBAs demonstrate against KALONZO MUSYOKA We are tired of eating dogs!
127,2,KAMBAs are poor because of KALONZO and MUTHAMA ALFRED MUTUA fires back via
128,2,Kambas are only respected in NASA don't let Nyenze fool u . How many kambas are enjoying in JAP right now ? ask Charity Ngilu
129,2,Kambas are not 'watermelons' will support Uhuru re-election says Sonko
130,2,Kambas are long distance trekkers I bet hao washaanza journey to Eritrea kiguu.
131,2,Kambas are for peace but we won't allow this thing called Duale to incite somalis against kambas in Garissa.
132,2,Kambas are following too we wan't justice for our president H.E Raila Odinga
133,2,Kambas are condemned for number 2 slot in Kibaki he was Vice president with Raila 2013 running mate 2017 again when will he be deputized?
134,2,kambas are brothers who should be protected agains all warmongers thus cs nkaiserry should act swiftly with the help of NCIC
135,2,Kambas are [expletive]
136,2,Kambas and Indians defy logic. I cannot understand how they are so light skinned and hairy respectively yet they live in hot regions.
137,2,Kambas : Are these kito??
138,2,KAMBAS 10 AND HE DOESNT REALISE THAT THESE CHANNELS ARE SEX CHANNELS
139,2,Kambas Luhyas and luos dont kill for political power. Killers are known. Maligning won t help.
140,2,Kamba..with Sonko geared to governor of Nairobi capital city of Kenya kambas are rethinking their continued stay in opposition.
141,2,Kama wewe RT : Why don't Luos accept when they are drunk and staggering they always (cont)
142,2,Kama kikuyus couldn't be knowing Babu's tribe si wangesema ni wetu a dark friend I confuse her for a kalenjin she is a Kikuyu!
143,2,Kama kawaida kina it's mutai kalonzo mdv nyakundi watampatia mathogothanio sasa ju nilazima waseme kitu tunangoja kwa taratibu
144,2,Kama Itumbi anaeza hatch Rao basi ni TASA sio NASA?
145,2,Kalonzo has let us down we kambas . The other men are not out there shouting why him. He is letting us down the last minute.
146,2,Kali RT : To Kalenjins Tibet is not only a province in China but the thing the presidential aspirants are engaged in tonight
147,2,Kali iyo RT : RT : Natafuta Jaja inaweza Jaj iDeos! *Kifo* hawa wakisii wameshinda!
148,2,kali : Luhyas are expecting Obama to bring them gifts...so when he ever makes a stop in Kakamega they be like...
149,2,Kalenjins who run the world are waiting for the verdict to be released!!
150,2,Kalenjins Wherever They Are Na Homesick! Style Up kuna Nini Home maziwa? Pesa? Bibi?
151,2,kalenjins we dnt wlk RT : Never chase anyone. A person who appreciates you will walk with you.
152,2,Kalenjins we are warriors we will fight for what's rightfully ours by all means
153,2,Kalenjins we are warriors we will fight for our Rights fully !!! Allutacontinua
154,2,KALENJINs told to ignore RUTO s call to kill URP JAP is a KIKUYU
155,2,Kalenjins today are giving me mixed feelings ..Some are making us proud to be Kenyan in Daegu others not so much in Hague
156,2,Kalenjins representing Kenya both in Daegu and Hague are making us proud!
157,2,kalenjins mamas are so natural...especially their teeth! milky and firm! (sage)on the trend...
158,2,Kalenjins in Northern Rift Valley are amongst the poorest when they are forced to eat wild berries during the current drought .
159,2,Kalenjins in Nairobi should register as voters there. We are many in RV and your votes in Nairobi is more significant than here.
160,2,Kalenjins have strongly effectively and successfully identified with marathons. All winners are from that region. Totally impressed.
161,2,Kalenjins have no excuse of having no money because they are great runners .
162,2,Kalenjins do not like keeping dogs and they dont do ceremonies using dogs. Majority are Christians
163,2,Kalenjins attending Kikuyu prayers at Nakuru are lost because all songs are being sung in kikuyu ndia dialect
164,2,Kalenjins are the single most community that controls the Police and the Prisons! Mzalendo Kibunjia Report
165,2,Kalenjins are the oldest tribe in Kenya. Why? You ask. Because kila time story telling huanza na 'Hapo zamani za Kale...
166,2,kalenjins are the new kings of salamu..zinaanza midway songs na zinafollow beats
167,2,kalenjins are the most Democratic people most women MPs and young MPs are from kalenjins land now cooks and watchmen
168,2,kalenjins are the fastest land animal ever... inhabiting the the great rift valley in
169,2,kalenjins are the ancient egyptians..ASIS is same as ISIS(goddess of the opressed) wife to OSIRIS and mother to HORUS..
170,2,Kalenjins are tall slim and black says ICC witness...going by this definition Henry Kosgey is not a Kalenjin
171,2,Kalenjins are tall thin and dark. Eldoret roads are thin traffic-everywhere thin.
172,2,Kalenjins are good at being Racists ask the whites. They win all the races bana..
173,2,Kalenjins are corrupt but not all of us- Alfred Keter
174,2,Kalenjins are ; road racists. RT : Zebras aren't racists
175,2,Kalenjins and Kikuyus need to understand and appreciate the need to work together. If those Bank robbers in Thika had stuck to digging and let Kales run with the money do you think it would have been recovered in Juja?
176,2,Kalenjins traditional maize farmers r being rendered more poorer by DP Ruto in this Voting 'my tribe' hasn't helped u
177,2,Kalenjin Politicians led by Murkonmen take all Kalenjins for fools! Now they are blaming Raila Odinga for the recent Mau evictions? You see how powerful is this Mganga? Those evicted can as well believe the...
178,2,Kalenjin Nation is lamenting nearly about everything from Shangwee Mtaani which Kikuyus are winning in Kalenjin...
179,2,KALEMBE tests WETANGULA & tells IEBC to deregister him & see if he will chase KIKUYUs -
180,2,Kale amejua usungu maasai hatuna chetu : Most chicks here are a Tease.
181,2,Kaka Nyakundi punguza wivu wa kike haya mambo ya Wanawake waachie wenyewe!
182,2,Kaka Bamsuley Abdallah Nimeonelea wakati ninapopata kikombe cha Kahawa na hawa waarabu nikuanikie hiki...
183,2,Kajiado is not a town those are just the Maasai ...RT : The town is already Painted
184,2,Kajiado central by-election are going to be tough btn the two parties jubilee and cord idk which party maasai people are gonna snub
185,2,Kaito Masai Niek Traa and Samuel Revell are the best. And I do love those Nguyens girl's things. I mean all of them are awesome!
186,2,Kai! EviL!!!!! RT : RT : Must find a gullible tourist and tell them all lions are maasai pet ...
187,2,Kagwanja: Muluka you are wrong! Kalenjins and Kikuyus are not the only ones who voted for Uhuru and Ruto
188,2,Kaduna house of assembly chief whip caught on tape pledging 5 million naira for anyone that can get him Sent. Shehu Sanni's hair. .
189,2,Kadinya: The Story Of Lurambi MPig Raphael Otaalos Sexual Exploits | Cyprian Nyakundi
190,2,Kabura Ngethi and Waiguru are Kikuyus is designed for other Tribes
191,2,Kaboom straight from fake textbooks from the new sheriff in town yours truly jubilee is even rigging learning & future our kids Ooh!!! Gracious Lord tulikozea wapi 7B into the drain
192,2,Kabogo you are right they burnt kikuyus 2007 and they called luos fools and think like children but u r no saint too
193,2,KABOGO WARNED RUTO ABOUT THE KIKUYUS WHO WONT ALLOW HIM TO BE PRESIDENT...HERE WE ARE NOW
194,2,Kabla Spain warudi kwao si Harambee stars waitishe friendly wakiwa uko
195,2,Kabisar Nyakundi !!!Btw DJs Are Like the Media..When The Govt That They Slept with Starts to Oppress Them They Turn 2 Us 4 Help
196,2,Kabisa. Muslims aren't kids to be bribed so cheaply.
197,2,kabisa! He's also brilliant but not as much as sifuna
198,2,Kabisa RT : RT : Does kalonzo musyoka realises that Wiper party mps are only kambas n ... (cont)
199,2,Hawa wazee wajaluo wawili wanafanya na drilling company Baringo
200,2,Hawa Waubiri Wanaoponesha Magonjwa Sijui Sugu Kama Cancer Ingekuwa Ukweli Wazungu Wangejaa Hapa Mcheki Babu Pale Loliondo
201,2,hawa watu wenye walikuwa Africans halafu wanaenda kukimbilia wazungu really annoy me!
202,2,hawa watu waliua saitoti Jacob juma et al because of information le prezo chunga babaa
203,2,Hawa watu wa Canaan ni Kama walikuwa wanaenda hapa tu Githurai wanachezea 44/45%
204,2,Hawa watu hu-RT follow train za wazungu mumenifika kwenye koo... Nikiona mmoja unakula block
205,2,Hawa watoto waluhya skuizi hawataki mchezo Mwalimu: mbona umekuja na ugali shule Mwanafunzi: si ulisema maswali Leo yatakua mboga mboga
206,2,Hawa watoto wahindi wanakaa cartoon characters!! Smthn off Alladin or Prince of Egypt
207,2,Hawa wateso Vipi Mzee ozunga sambaza nyama choma
208,2,hawa wasichana wazungu wanataka kuharibia de gea career....they were paid by perez and madrid
209,2,Hawa wameulizwa: wameru mnasoma am tu ni miraaa!...wakasema: miraa.... Ara!!!!
210,2,Hawa wamasai sijui wamesomea wapi udaktari maanake..ukienda kununua dawa hizo mbebwe wanazoweka.
211,2,Hawa wamaasai wanazunguka town wakiuza Dawa si waende tu Makadara hospital wauze iyo dawa uko.
212,2,Hawa waluhya Wefwe na deadbeat watatumaliza khandi
213,2,Hawa waluhya wakisafiri kwenda Western ati lazima wakule wakifika Nakuru ?
214,2,Hawa WaLuhya hutoa wapi hii pesa ya kupiga piga simu kila radio station kuchangia mada zote
215,2,hawa wakisii wameconglomerate na kucoagulate hapa local pub! Indeed unity is strength! they talking in mother tongue! laughing drinking!
216,2,hawa wakisii wako almost 10 na ile kelele imejaa hapa TL!!!.!!!!*acha ntafte kiboko*
217,2,hawa wakikuyu wanaletea kenya revenue bana yaani msee ameenda hadi australia kuenda kusaidia kufix matches
218,2,Hawa wakikuyu wamelipwa wapige makelele ati We are watching you.
219,2,Hawa wakikuyu wa mjengo kwa neighbor wajitoe sasa. Kila time wakisema
220,2,hawa wakikuyu tu ndio wamepewa kipawa cha kuhubiri hapa town na wana mek preachings prophecies zingine haziko....
221,2,Hawa wakikuyu rais ataapishwa hata usiku kama kibaki wamechoka na hii ' concede' and ' move on' kila uchaguzi UK kawaambia hio juzi pia
222,2,hawa wakikuyu leading every govt intitution to opress us wot will they do during rigging?? be prepared
223,2,Hawa wakikuyu hueka 'n' mwanzo ya word na 'i' mwisho..eg.ndansi njoti...tunawaona..
224,2,Hawa wakamba wenza WA Zambia need miracle to proceed as it stands.
225,2,Hawa wakamba wawili & their bright colors.. Taraji is really harassing tutuwatiti though
226,2,Hawa wakamba wametoshana hivo wakila nini na ukambani ni nchi kavu?
227,2,Hawa wakamba wako siasa kwa jav siwangebuy gari yao ya graduation
228,2,Hawa wakamba wako kwa dream wedding wanateta tu!! Appreciate the dj
229,2,hawa wakamba wa mbooni wana kazi mingi mpaka Dr kanyari atakaki warudie kazi
230,2,Hawa wakamba huwa hawaendi church how do you say goodmorning church
231,2,Hawa waiter Wakamba nikama wao ujidunga...nimeuliza waiter kama kuna ugali ya mbao ananishow huwa wanauza ya unga tu..
232,2,Hawa waislamu mwitu kuna vle wao hutembeza ikus lakini waria na waarabu hapo lazima hustruggle kiasi brathe
233,2,Hawa waarabu wanatorture kenyans wadhani sisi ni madogy zao..... Being our employers doesn't mean u own us .
234,2,Hawa waarabu wahuni kweli c watatufunga bao za hatar hapo
235,2,Hawa ni wale wakamba wa Tala wanaoishi karibu na wakikuyu. Wameambukizwa ugonjwa ya waru
236,2,hawa ni wakikuyu wa hapa kiambu wamepelekwa huko. u think UK is like kenya where you have time to idle with placards.
237,2,Hawa ni Wakamba wa wapi? Two Kenyan sisters sentenced to 14 years and 5 years in prison for $15 million tax...
238,2,Hawa ndio ma-celebrities wazungu wa mwanzo kabisa kufa na ukimwi
239,2,hawa na Wakikuyu wanaweza kosana sana! And fruits? Si their bodies waste away bana
240,2,hawa makanga wakisii wa embassava wanafa kupelekwa anger management
241,2,Hawa madem wakiuk c huwa rude naenda kubuy kitu nauliza dem mbona anauza bei kali ivo ananijibu ati c bei iko juu me ndo nimesota!
242,2,Hawa madem wa shaggz washamba kabisa ndio wanaoa wazungu .....I don't get it
243,2,Hawa madame wafupi na haga size yake ndio watafanya nigongwe na gari hapa nairobi. slim nimewachia wazungu roho safi.
244,2,Hawa maboy wakikuyu who underwent the cut and still stayed in their mothers house during the healing period hawajawahi skia kitu kama hiyo. Waende ocha wakaulize uncle zao na magurire athuri acio mburi ti guthie moko matheri ta ihii.
245,2,Having the same monkeys in a different forest makes no change
246,2,Having a concealed is a charm when you are one of 3 non Masai people in a market.
247,2,Haven't you said that UK is using them to Kill Luos ? Ama who are the people who died in Demos?
248,2,haven't you heard that Al Shabaab has killed our soldiers.. Or the attack was meant to dilute .
249,2,Have you seen that previous RT. Either that guy's parents are relatives or Kisiis have gone international.
250,2,Have you received some huge money in your account? Will you be used to rig in Uhuru? Confirm
251,2,Have you realised that someone is killing people just for power..
252,2,Have you ever thought you can be good in comedy luo / kikuyus who are more enslaved ib dynasty
253,2,LMAO RT ION news Kikuyus are also winning stones outside the stadium
254,2,Lmao RT : Footballers all over the world are showing their support for Kisiis
255,2,LMAO RT : My gaaaaad! aki hawa wakamba wetu
256,2,LMAO RT : Ile siku hawa wazungu wataniita mate ndio watatambua me ni.... Okay sitafanya kitu mate.
257,2,LMAO : LMFAO! RT : Hawa wazungu ndio walileta hii maneno zamani ulikua unaingia tu shamba mvua inakupata mbele
258,2,LMAO : Ghai Smh : *tears >> RT : Haiya. Man U has a player called Wanza? Kambas are now global *claps*
259,2,Lmao : Rumor: Drake and Masai Ujiri are recording a Nets diss track at halftime.
260,2,LMAO . Look at how NASA people talk of Jubilee supporters. Or Kikuyus to be precise.
261,2,lmao ati luos are the only people who don' t bendov they incline their bodies to the centre o gravity. ..phaha ... .
262,2,Kiuks have always held the cutting edge even through am not a raila supporter I will support my luo brothers throght this.
263,2,Kiuks luos kaos lunjes maasai et al are very kenyan. Only language differs to break monotony. I luv a diverse kenya. Stand with all.
264,2,Kitu ka iyo RT : juu ya kuitana ngui ama? RT : I think kikuyus are the funniest tweeps ever.LoL
265,2,Kisiis hate Ruto with a passion. Uhuru isn't getting anything there.
266,2,Kisii Politicians kno thy depend on Luo land & th pple HATE economic competition 4m Kikuyus .
267,2,Kisii -Narok border is a mess. Your boys are slow to act when maasais attack Kisii & chase us when we question them.
268,2,Kisii men are becoming too aggressive.....I can note this for the last 3yrs...taking the matatu driving/touting away from the kikuyus .
269,2,Kisii funerals are really silent yet to see people wailing the way we Luos do it....
270,2,Kisii artisans...Kikuyu Businessmen..Sheng creatives.. kamba artisans and all the 43 tribes..thank you for defining who we are
271,2,KISERO: Boardroom battles behind the sending home of Nock chief - Tribalism jobs shared btwn Kikuyus and Kalenjins.
272,2,Kisao Munyao said the truth. The Kambas are being taken for a ride and used to facilitate selfish interests of a few!
273,2,KIRAITHE & AG muigai are sweating to sheath their Kukuyu President. swearing saga turned to Kikuyus affair .
274,2,kipsuter ( MAASAI CHOIR) you guys are nuts. put it as kalenjin choir.
275,2,Kipsigis have very many lighter skinned people than their Marakwet and Pokot cousins but they are all Kalenjins
276,2,Kipsigis gadamnit : \o/ RT : For Kalenjins Nandi chics are the cutest
277,2,Kioko Luos would not ve voted for Kalonzo if he was the flag bearer stop comforting urself with August.Kambas we are doomed.Plan B MUTUA.
278,2,have you ever been to any of those hotels do you even use a gas....my friend don't talk on what you don't know let them boycott.As a matter of fact most Kikuyus and Kalenjines use firewood not gas....so there will be no effect on their boycott
279,2,Have you done a survey that shows that most Kikuyus hate Luos? If yes please state the number that represents
280,2,Have ya'll heard of the ' Kikuyus are the Jews of Kenya- God's chosen people but do we say' page on FB?
281,2,Have u considered where they will end up next? They won't kill Luos forever
282,2,Have to give the Maasai probs. These guys are just walking though the bushes looking like lion food. Lions are like
283,2,have seen some kikuyus tweet things that cannot be forgiven on mungiki killings in kawangware who has the last laugh shall be seen!
284,2,hao si madame maasai RT : Ogopa sana madame wasupa kuruka ... Utarukiwo
285,2,Hao ni Chinese sio Maasai
286,2,hao maasai hawakuzidedisha!? RT : Lions suspend coach John Mitchell after player unrest
287,2,Hao lazima wawe watoto wa RT : Dead RT : Watoto wakikuyu watapewa laptop upate wameshikana wakafungua cybercafe.
288,2,Hansard is where parliament proceedings are recorded to Kambas it's the Chelsea player who won Leicester the league.
289,2,Hamuoni shida kwa youth wenu wanaiba wanapiga polisi na wanaua wakikuyu but wakipigwa risasi mnafungua macho mnaanza kuona evils in society.
290,2,Half ya hao vijana walkuwa Uhuru park ni Hawkers Wakikuyu walikuwa hustle huko.
291,2,Half of Jubilee party officials in Nairobi are Kikuyus
292,2,Halafu we can't just sit here and act like Nyakundi is still on these streets
293,2,Halafu Kalenjins are electing young blood wueeh. The Nandi senator who won the gubernatorial jubilee ticket is 32yrs old.
294,2,hakuna tena nafasi ya udhwalim hapa ni tu ukweli mtupu wajaluo out
295,2,Fry that beef....0hhh shit is that hate speech on beef
296,2,From yesterday's turnout its clear that Kikuyus do not VOTE KENYATTA IN RATHER THEY VOTE RAILA OUT
297,2,From what region are you from? They are regional based
